Record #,ID,DOI,Strain,Titer,Product,Type,Substrate,Comment
1,1,10.1016/j.foodhyd.2019.05.055,NULL,NULL,NULL,NULL,,
5,5,10.1016/j.biortech.2019.121445,NULL,NULL,NULL,,,
6,6,10.1016/j.biortech.2019.121410,Escherichia coli,1.564 g/L,nerol,Isoprenoid,glucose,
15,15,10.1007/s11426-019-9456-y,Unspecified,5.75 g/L,fatty alcohol,Alcohol,glucose,
31,31,10.1128/AEM.01327-19,Escherichia coli,419.8 g/L,L-aspartate,Amino Acid,maleate,
32,32,10.1016/j.ymben.2019.07.007,Escherichia coli,25.7?g/L,viridiflorol,Isoprenoid,glucose,
33,32,10.1016/j.ymben.2019.07.007,Escherichia coli,30?g/L,amorphadiene,Isoprenoid,glucose,
34,33,10.1016/j.ymben.2019.07.002,Escherichia coli,2.4?g/L,hesperetin-3,Alkaloid,NULL,
36,33,10.1016/j.ymben.2019.07.002,Escherichia coli,4.3?g/L,quercitrin,Alkaloid,NULL,
38,33,10.1016/j.ymben.2019.07.002,Escherichia coli,1.9?g/L,afzelin,Alkaloid,NULL,
40,35,10.1186/s13068-019-1520-x,E. coli,45.71g/L,threonine,Amino Acid,NULL,
41,35,10.1186/s13068-019-1520-x,E. coli,1.35g/L,1-propanol,Alcohol,NULL,
42,36,10.1016/j.plasmid.2019.102431,E. coli,104.6?mg/L,pinene,Isoprenoid,NULL,
47,41,10.1080/10242422.2019.1606215,NULL,NULL,NULL,NULL,,
51,45,10.1007/s10295-019-02170-w,Corynebacterium glutamicum,201.6 g/L,l-lysine,Amino Acid,glucose,
52,46,10.1007/s10295-019-02180-8,E. coli,5.4g/L,n-butanol,Alcohol,glucose,
54,48,10.1007/s00253-019-09875-z,Escherichia coli,0.88 g/L,piceatannol,Alkaloid,4-hydroxyphenylacetic acid,
50443,52,10.1111/1751-7915.13403,,3.22 g l(-1),aminobenzoic acid,Other,,
58,52,10.1111/1751-7915.13403,-,-,-,-,,
50444,53,10.1111/nph.15809,,37.07 mg l(-1),friedelin,Isoprenoid,,
59,53,10.1111/nph.15809,-,-,-,-,,
60,54,10.7717/peerj.6971,Escherichia coli,3.3 mg/L,butyl octanoate,Acid,NULL,
63,57,10.1007/s00253-019-09815-x,Escherichia coli,1.68 g L-1,"butyrate,",Acid,lignocellulosic hydrolysate,
74,57,10.1007/s00253-019-09815-x,Escherichia coli,8.95 g L-1,"3-HB,",Acid,lignocellulosic hydrolysate,
85,68,10.1016/j.ymben.2019.04.012,Escherichia coll,33.1 g/L,L-aspartate,Amino Acid,glucose,
86,68,10.1016/j.ymben.2019.04.012,Escherichia coll,37.7 g/L,b-alanine,Amino Acid,glucose,
87,69,10.1021/acssynbio.9b00140,Bacillus subtilis,360 mg/L,menaquinone,Other,NULL,
89,71,10.1002/bit.26976,Kluyveromyces marxianus,1.24 g/L,triacetic acid lactone,Polyketide,xylose,
95,77,10.1002/cbic.201900050,Escherichia coli,5.3?gL-1,chorismate,Other,NULL,
104,86,10.1039/c8gc04066d,Saccharomyces cerevisiae,2.4 g L-1,b-O-Glc-DM,Other,NULL,
116,86,10.1039/c8gc04066d,Saccharomyces cerevisiae,5.6 g L-1,20S-O-Glc_DM,Other,NULL,
128,98,10.1186/s12934-019-1153-6,E. coli,155 g/L,L-lysine,Amino Acid,glucose,
131,101,10.1186/s12934-019-1130-0,Escherichia coli,4.8g/L,geranyl acetate,Isoprenoid,NULL,
132,102,10.1021/acs.jafc.9b01529,NULL,NULL,NULL,NULL,,
141,102,10.1021/acs.jafc.9b01529,NULL,NULL,NULL,NULL,,
150,111,10.1021/acssynbio.9b00020,Escherichia coli,0.83 g/L,dodecanol,Alcohol,glucose,
50445,114,10.4014/jmb.1901.01058,Escherichia coli,61.3 g/l,L-phenylalanine,Amino Acid,,
153,114,10.4014/jmb.1901.01058,-,-,-,-,,
158,119,10.1002/bit.26939,Corynebacterium glutamicum,24mgL (-1),naringenin,Alkaloid,glucose,
159,119,10.1002/bit.26939,Corynebacterium glutamicum,112mgL (-1),resveratrol,Polyketide,glucose,
160,120,10.1002/biot.201800478,Escherichia coli,7.3 g L-1,phenyllactic acid,Acid,glucose,
176,136,10.1016/j.synbio.2019.02.002,Saccharomyces cerevisiae,156.7 mg/L,b-amyrin,Isoprenoid,glucose,
177,137,10.1016/j.biortech.2019.02.128,NULL,NULL,NULL,NULL,,
195,155,10.1186/s12934-019-1126-9,Bacillus licheniformis,78g/L,"2,3-butanediol",Alcohol,glucose,
196,156,10.1186/s12934-019-1127-8,Yarrowia lipolytica,51.87 mg/L,betulinic acid,Isoprenoid,NULL,
197,157,10.1186/s12934-019-1129-6,E. coli,5.3 g/L,styrene,Other,NULL,
199,159,10.1021/acs.jafc.9b01367,Saccharomyces cerevisiae,0.12 mg L-1,8-prenylnaringenin,Alkaloid,NULL,
213,173,10.1002/btpr.2793,NULL,NULL,NULL,NULL,,
218,178,10.1016/j.chemosphere.2019.01.131,NULL,NULL,NULL,NULL,,
221,181,10.1007/s00449-019-02076-y,NULL,NULL,NULL,NULL,,
223,183,10.1002/mbo3.728,Streptomyces albulus,70.3 g/L,e-poly-L-lysine,Special AA,NULL,
234,194,10.1016/j.lwt.2019.02.018,NULL,NULL,NULL,NULL,,
235,195,10.1016/j.biortech.2019.02.024,NULL,NULL,NULL,NULL,,
238,198,10.1186/s12934-019-1123-z,Saccharomyces cerevisiae,3g/L,13R-manoyl oxide,Isoprenoid,glucose,
245,205,10.1186/s12934-019-1117-x,Corynebacterium glutamicum,53.32mg/L,noreugenin,Alkaloid,NULL,
247,207,10.1371/journal.pone.0215025,NULL,NULL,NULL,NULL,,
252,212,10.1186/s12934-019-1114-0,Unspecified,121.4g L-1,L-lysine,Amino Acid,glucose,
257,217,10.1002/bit.26907,Escherichia coli,16.7 g/L,L-fucose,Other,NULL,
258,218,10.1111/jam.14204,-,-,-,-,,
